timeStamp,Time,elapsed,responseCode,threadName,grpThreads,allThreads,Latency,IdleTime,Connect
1.5834E+12,05/03/2020 10:24:16.321,134,200,Thread Group 1-3,10,10,134,0,0
1.5834E+12,05/03/2020 10:24:16.367,165,200,Thread Group 1-2,10,10,165,0,2
1.5834E+12,05/03/2020 10:24:16.369,98,200,Thread Group 1-10,10,10,98,0,0
1.5834E+12,05/03/2020 10:24:16.376,131,200,Thread Group 1-6,10,10,131,0,0
1.5834E+12,05/03/2020 10:24:16.418,97,200,Thread Group 1-3,10,10,97,0,0
1.5834E+12,05/03/2020 10:24:16.423,130,200,Thread Group 1-1,10,10,130,0,0
1.5834E+12,05/03/2020 10:24:16.462,95,200,Thread Group 1-2,10,10,95,0,0
1.5834E+12,05/03/2020 10:24:16.472,96,200,Thread Group 1-6,10,10,96,0,0
1.5834E+12,05/03/2020 10:24:16.553,135,200,Thread Group 1-3,10,10,134,0,0
1.5834E+12,05/03/2020 10:24:16.554,131,200,Thread Group 1-1,10,10,131,0,0
1.5834E+12,05/03/2020 10:24:16.590,221,200,Thread Group 1-10,10,10,221,0,3
1.5834E+12,05/03/2020 10:24:16.591,752,200,Thread Group 1-5,10,10,752,0,0
1.5834E+12,05/03/2020 10:24:16.645,90,200,Thread Group 1-1,10,10,90,0,0
1.5834E+12,05/03/2020 10:24:16.666,203,200,Thread Group 1-2,10,10,203,0,0
1.5834E+12,05/03/2020 10:24:16.678,206,200,Thread Group 1-6,10,10,206,0,0
1.5834E+12,05/03/2020 10:24:16.689,99,200,Thread Group 1-10,10,10,99,0,0
1.5834E+12,05/03/2020 10:24:16.709,118,200,Thread Group 1-5,10,10,118,0,0
1.5834E+12,05/03/2020 10:24:16.737,91,200,Thread Group 1-1,10,10,91,0,0
1.5834E+12,05/03/2020 10:24:16.825,135,200,Thread Group 1-10,10,10,135,0,0
1.5834E+12,05/03/2020 10:24:16.831,152,200,Thread Group 1-6,10,10,152,0,3
1.5834E+12,05/03/2020 10:24:16.890,222,200,Thread Group 1-2,10,10,222,0,0
1.5834E+12,05/03/2020 10:24:16.906,195,200,Thread Group 1-5,10,10,195,0,0
1.5834E+12,05/03/2020 10:24:16.916,90,200,Thread Group 1-10,10,10,90,0,0
1.5834E+12,05/03/2020 10:24:16.921,90,200,Thread Group 1-6,10,10,90,0,0
1.5834E+12,05/03/2020 10:24:16.964,411,200,Thread Group 1-3,10,10,411,0,0
1.5834E+12,05/03/2020 10:24:16.990,886,200,Thread Group 1-4,10,10,886,0,0
1.5834E+12,05/03/2020 10:24:16.991,100,200,Thread Group 1-2,10,10,100,0,0
1.5834E+12,05/03/2020 10:24:17.010,104,200,Thread Group 1-5,10,10,102,0,0
1.5834E+12,05/03/2020 10:24:17.017,95,200,Thread Group 1-6,10,10,95,0,0
1.5834E+12,05/03/2020 10:24:17.084,92,200,Thread Group 1-2,10,10,91,0,0
1.5834E+12,05/03/2020 10:24:17.139,174,200,Thread Group 1-3,10,10,174,0,3
1.5834E+12,05/03/2020 10:24:17.148,138,200,Thread Group 1-5,10,10,138,0,0
1.5834E+12,05/03/2020 10:24:17.158,421,200,Thread Group 1-1,10,10,421,0,0
1.5834E+12,05/03/2020 10:24:17.173,89,200,Thread Group 1-2,10,10,89,0,0
1.5834E+12,05/03/2020 10:24:17.228,312,200,Thread Group 1-10,10,10,312,0,0
1.5834E+12,05/03/2020 10:24:17.230,90,200,Thread Group 1-3,10,10,90,0,0
1.5834E+12,05/03/2020 10:24:17.239,90,200,Thread Group 1-5,10,10,90,0,0
1.5834E+12,05/03/2020 10:24:17.268,95,200,Thread Group 1-2,10,10,95,0,0
1.5834E+12,05/03/2020 10:24:17.298,140,200,Thread Group 1-1,10,10,140,0,0
1.5834E+12,05/03/2020 10:24:17.328,310,200,Thread Group 1-6,10,10,310,0,0
1.5834E+12,05/03/2020 10:24:17.359,131,200,Thread Group 1-10,10,10,130,0,0
1.5834E+12,05/03/2020 10:24:17.378,148,200,Thread Group 1-3,10,10,147,0,0
1.5834E+12,05/03/2020 10:24:17.390,399,200,Thread Group 1-4,10,10,399,0,5
1.5834E+12,05/03/2020 10:24:17.395,126,200,Thread Group 1-2,10,10,126,0,0
1.5834E+12,05/03/2020 10:24:17.398,100,200,Thread Group 1-1,10,10,100,0,0
1.5834E+12,05/03/2020 10:24:17.425,97,200,Thread Group 1-6,10,10,97,0,0
1.5834E+12,05/03/2020 10:24:17.461,222,200,Thread Group 1-5,10,10,222,0,3
1.5834E+12,05/03/2020 10:24:17.462,103,200,Thread Group 1-10,10,10,103,0,0
1.5834E+12,05/03/2020 10:24:17.486,108,200,Thread Group 1-3,10,10,107,0,0
1.5834E+12,05/03/2020 10:24:17.493,98,200,Thread Group 1-2,10,10,98,0,0
1.5834E+12,05/03/2020 10:24:17.496,106,200,Thread Group 1-4,10,10,106,0,0
1.5834E+12,05/03/2020 10:24:17.529,68,200,Thread Group 1-5,10,10,68,0,0
1.5834E+12,05/03/2020 10:24:17.538,112,200,Thread Group 1-6,10,10,111,0,0
1.5834E+12,05/03/2020 10:24:17.539,141,200,Thread Group 1-1,10,10,141,0,0
1.5834E+12,05/03/2020 10:24:17.550,88,200,Thread Group 1-10,10,10,88,0,0
1.5834E+12,05/03/2020 10:24:17.582,85,200,Thread Group 1-4,10,10,85,0,0
1.5834E+12,05/03/2020 10:24:17.587,101,200,Thread Group 1-3,10,10,101,0,0
1.5834E+12,05/03/2020 10:24:17.630,92,200,Thread Group 1-6,10,10,92,0,0
1.5834E+12,05/03/2020 10:24:17.638,98,200,Thread Group 1-1,10,10,98,0,0
1.5834E+12,05/03/2020 10:24:17.666,173,200,Thread Group 1-2,10,10,173,0,0
1.5834E+12,05/03/2020 10:24:17.685,156,200,Thread Group 1-5,10,10,156,0,0
1.5834E+12,05/03/2020 10:24:17.694,106,200,Thread Group 1-3,10,10,106,0,0
1.5834E+12,05/03/2020 10:24:17.696,145,200,Thread Group 1-10,10,10,145,0,0
1.5834E+12,05/03/2020 10:24:17.706,123,200,Thread Group 1-4,10,10,123,0,0
1.5834E+12,05/03/2020 10:24:17.732,94,200,Thread Group 1-1,10,10,94,0,0
1.5834E+12,05/03/2020 10:24:17.756,90,200,Thread Group 1-2,10,10,90,0,0
1.5834E+12,05/03/2020 10:24:17.766,71,200,Thread Group 1-3,10,10,71,0,0
1.5834E+12,05/03/2020 10:24:17.775,145,200,Thread Group 1-6,10,10,145,0,0
1.5834E+12,05/03/2020 10:24:17.781,74,200,Thread Group 1-4,10,10,73,0,0
1.5834E+12,05/03/2020 10:24:17.794,98,200,Thread Group 1-10,10,10,98,0,0
1.5834E+12,05/03/2020 10:24:17.824,91,200,Thread Group 1-1,10,10,91,0,0
1.5834E+12,05/03/2020 10:24:17.862,177,200,Thread Group 1-5,10,10,177,0,0
1.5834E+12,05/03/2020 10:24:17.874,108,200,Thread Group 1-3,10,10,107,0,0
1.5834E+12,05/03/2020 10:24:17.879,98,200,Thread Group 1-4,10,10,98,0,0
1.5834E+12,05/03/2020 10:24:17.882,88,200,Thread Group 1-10,10,10,88,0,0
1.5834E+12,05/03/2020 10:24:17.889,133,200,Thread Group 1-2,10,10,132,0,0
1.5834E+12,05/03/2020 10:24:17.960,97,200,Thread Group 1-5,10,10,97,0,0
1.5834E+12,05/03/2020 10:24:17.976,97,200,Thread Group 1-4,10,10,97,0,0
1.5834E+12,05/03/2020 10:24:17.976,93,200,Thread Group 1-10,10,10,93,0,0
1.5834E+12,05/03/2020 10:24:17.984,208,200,Thread Group 1-6,10,10,208,0,0
1.5834E+12,05/03/2020 10:24:18.031,207,200,Thread Group 1-1,10,10,207,0,4
1.5834E+12,05/03/2020 10:24:18.059,83,200,Thread Group 1-4,10,10,83,0,0
1.5834E+12,05/03/2020 10:24:18.070,85,200,Thread Group 1-6,10,10,85,0,0
1.5834E+12,05/03/2020 10:24:18.074,114,200,Thread Group 1-5,10,10,113,0,0
